2026-02-21,02:56:51,5608988,2,75,13014,0,0,0
2026-02-21,02:56:51,5608989,2,75,13015,267329,267329,0
2026-02-21,02:56:51,5608990,2,75,13016,267329,267329,0
2026-02-21,02:56:51,5608991,2,75,13017,267329,267329,0
2026-02-21,02:56:51,5608992,2,75,13018,0,267329,0
2026-02-21,02:56:51,5608993,2,75,13019,0,0,0
2026-02-21,02:57:51,5608995,2,75,13014,0,0,0
2026-02-21,02:57:51,5608996,2,75,13015,266349,266349,0
2026-02-21,02:57:51,5608997,2,75,13016,266349,266349,0
2026-02-21,02:57:51,5608998,2,75,13017,266349,266349,0
2026-02-21,02:57:51,5608999,2,75,13018,0,266349,0
2026-02-21,02:57:51,5609000,2,75,13019,0,0,0
2026-02-21,02:58:51,5609002,2,75,13014,0,0,0
2026-02-21,02:58:51,5609003,2,75,13015,267499,267499,0
2026-02-21,02:58:51,5609004,2,75,13016,267499,267499,0
2026-02-21,02:58:51,5609005,2,75,13017,267499,267499,0
2026-02-21,02:58:51,5609006,2,75,13018,0,267499,0
2026-02-21,02:58:51,5609007,2,75,13019,0,0,0
2026-02-21,02:59:51,5609009,2,75,13014,0,0,0
2026-02-21,02:59:51,5609010,2,75,13015,263501,263501,0
2026-02-21,02:59:51,5609011,2,75,13016,263501,263501,0
2026-02-21,02:59:51,5609012,2,75,13017,263501,263501,0
2026-02-21,02:59:51,5609013,2,75,13018,0,263501,0
2026-02-21,02:59:51,5609014,2,75,13019,0,0,0
2026-02-21,03:00:51,5609016,2,75,13014,0,0,0
2026-02-21,03:00:51,5609017,2,75,13015,264549,264549,0
2026-02-21,03:00:51,5609018,2,75,13016,264549,264549,0
2026-02-21,03:00:51,5609019,2,75,13017,264549,264549,0
2026-02-21,03:00:51,5609020,2,75,13018,0,264549,0
2026-02-21,03:00:51,5609021,2,75,13019,0,0,0
2026-02-21,03:01:51,5609023,2,75,13014,0,0,0
2026-02-21,03:01:51,5609024,2,75,13015,266365,266365,0
2026-02-21,03:01:51,5609025,2,75,13016,266365,266365,0
2026-02-21,03:01:51,5609026,2,75,13017,266365,266365,0
2026-02-21,03:01:51,5609027,2,75,13018,0,266365,0
2026-02-21,03:01:51,5609028,2,75,13019,0,0,0
2026-02-21,03:02:51,5609030,2,75,13014,0,0,0
2026-02-21,03:02:51,5609031,2,75,13015,268888,268888,0
2026-02-21,03:02:51,5609032,2,75,13016,268888,268888,0
2026-02-21,03:02:51,5609033,2,75,13017,268888,268888,0
2026-02-21,03:02:51,5609034,2,75,13018,0,268888,0
2026-02-21,03:02:51,5609035,2,75,13019,0,0,0
2026-02-21,03:03:51,5609037,2,75,13014,0,0,0
2026-02-21,03:03:51,5609038,2,75,13015,268642,268642,0
2026-02-21,03:03:51,5609039,2,75,13016,268642,268642,0
2026-02-21,03:03:51,5609040,2,75,13017,268642,268642,0
2026-02-21,03:03:51,5609041,2,75,13018,0,268642,0
2026-02-21,03:03:51,5609042,2,75,13019,0,0,0
2026-02-21,03:04:51,5609044,2,75,13014,0,0,0
2026-02-21,03:04:51,5609045,2,75,13015,265197,265205,0
2026-02-21,03:04:51,5609046,2,75,13016,265205,265205,0
2026-02-21,03:04:51,5609047,2,75,13017,265205,265205,0
2026-02-21,03:04:51,5609048,2,75,13018,0,265205,0
2026-02-21,03:04:51,5609049,2,75,13019,0,0,0
2026-02-21,03:05:51,5609051,2,75,13014,0,0,0
2026-02-21,03:05:51,5609052,2,75,13015,263298,263290,0
2026-02-21,03:05:51,5609053,2,75,13016,263290,263290,0
2026-02-21,03:05:51,5609054,2,75,13017,263290,263290,0
2026-02-21,03:05:51,5609055,2,75,13018,0,263290,0
2026-02-21,03:05:51,5609056,2,75,13019,0,0,0
2026-02-21,03:06:51,5609058,2,75,13014,0,0,0
2026-02-21,03:06:51,5609059,2,75,13015,266330,266330,0
2026-02-21,03:06:51,5609060,2,75,13016,266330,266330,0
2026-02-21,03:06:51,5609061,2,75,13017,266330,266330,0
2026-02-21,03:06:51,5609062,2,75,13018,0,266330,0
2026-02-21,03:06:51,5609063,2,75,13019,0,0,0
2026-02-21,03:07:51,5609065,2,75,13014,0,0,0
2026-02-21,03:07:51,5609066,2,75,13015,269295,269295,0
2026-02-21,03:07:51,5609067,2,75,13016,269295,269295,0
2026-02-21,03:07:51,5609068,2,75,13017,269295,269295,0
2026-02-21,03:07:51,5609069,2,75,13018,0,269295,0
2026-02-21,03:07:51,5609070,2,75,13019,0,0,0
2026-02-21,03:08:51,5609072,2,75,13014,0,0,0
2026-02-21,03:08:51,5609073,2,75,13015,268383,268383,0
2026-02-21,03:08:51,5609074,2,75,13016,268383,268383,0
2026-02-21,03:08:51,5609075,2,75,13017,268383,268383,0
2026-02-21,03:08:51,5609076,2,75,13018,0,268383,0
2026-02-21,03:08:51,5609077,2,75,13019,0,0,0
2026-02-21,03:09:51,5609079,2,75,13014,0,0,0
2026-02-21,03:09:51,5609080,2,75,13015,271010,271010,0
2026-02-21,03:09:51,5609081,2,75,13016,271010,271010,0
2026-02-21,03:09:51,5609082,2,75,13017,271010,271010,0
2026-02-21,03:09:51,5609083,2,75,13018,0,271010,0
2026-02-21,03:09:51,5609084,2,75,13019,0,0,0
2026-02-21,03:10:51,5609086,2,75,13014,0,0,0
2026-02-21,03:10:51,5609087,2,75,13015,263713,263713,0
2026-02-21,03:10:51,5609088,2,75,13016,263713,263713,0
2026-02-21,03:10:51,5609089,2,75,13017,263713,263713,0
2026-02-21,03:10:51,5609090,2,75,13018,0,263713,0
2026-02-21,03:10:51,5609091,2,75,13019,0,0,0
2026-02-21,03:11:51,5609093,2,75,13014,0,0,0
2026-02-21,03:11:51,5609094,2,75,13015,265276,265276,0
2026-02-21,03:11:51,5609095,2,75,13016,265276,265276,0
2026-02-21,03:11:51,5609096,2,75,13017,265275,265276,0
2026-02-21,03:11:51,5609097,2,75,13018,0,265276,0
2026-02-21,03:11:51,5609098,2,75,13019,0,0,0
2026-02-21,03:12:51,5609100,2,75,13014,0,0,0
2026-02-21,03:12:51,5609101,2,75,13015,264822,264822,0
2026-02-21,03:12:51,5609102,2,75,13016,264822,264822,0
2026-02-21,03:12:51,5609103,2,75,13017,264823,264822,0
2026-02-21,03:12:51,5609104,2,75,13018,0,264822,0
2026-02-21,03:12:51,5609105,2,75,13019,0,0,0
2026-02-21,03:13:51,5609107,2,75,13014,0,0,0
2026-02-21,03:13:51,5609108,2,75,13015,259331,259331,0
2026-02-21,03:13:51,5609109,2,75,13016,259331,259331,0
2026-02-21,03:13:51,5609110,2,75,13017,259331,259331,0
2026-02-21,03:13:51,5609111,2,75,13018,0,259331,0
2026-02-21,03:13:51,5609112,2,75,13019,0,0,0
2026-02-21,03:14:51,5609114,2,75,13014,0,0,0
2026-02-21,03:14:51,5609115,2,75,13015,267856,267856,0
